spot_id,name,lat,lon,subregion,relivable_rating
613282a64924a8bf64a65bea,Bacton,52.8557,1.4771,East Anglia,0
584204214e65fad6a7709cf3,Cromer Pier,52.933,1.303,East Anglia,4
613147a930cae76d3b6f48bb,Gorleston,52.56968,1.73653,East Anglia,0
613145d2f73fc6dc80aada92,Great Yarmouth,52.603,1.7391,East Anglia,0
584204214e65fad6a7709cf5,Lowestoft,52.466,1.749,East Anglia,0
613148d39046a0bb3048b046,Mundesley,52.8789,1.439,East Anglia,0
584204214e65fad6a7709cf2,Runton,52.936,1.289,East Anglia,0
61328b40b860000716d8a867,Sea Palling,52.79,1.603,East Anglia,0
584204214e65fad6a7709cf6,Southwold,52.334,1.693,East Anglia,0
584204204e65fad6a770909f,Walcott,52.843,1.501,East Anglia,3
613295f5735ce57adc5008ad,Winterton-on-Sea,52.7173,1.6994,East Anglia,0
5842041f4e65fad6a7708ca5,Bude Crooklets,50.83565,-4.55516,North Cornwall,4
5a282eb11d8788001b7967a1,Bude Summerleaze,50.8316,-4.55437,North Cornwall,4
584204204e65fad6a77090b3,Constantine,50.535,-5.03,North Cornwall,0
584204204e65fad6a77090af,Crackington Haven,50.743,-4.641,North Cornwall,0
584204204e65fad6a77090ba,Crantock,50.408,-5.127,North Cornwall,4
584204204e65fad6a77090bd,Cribbar,50.426,-5.103,North Cornwall,0
61bd0f16a9fdce2918d7929f,Daymer Bay,50.559465,-4.92883,North Cornwall,0
61bd3a8086787d357dc2dee3,Duckpool,50.875666,-4.55863,North Cornwall,0
584204214e65fad6a7709cef,Great Western,50.418,-5.079,North Cornwall,0
584204204e65fad6a77090b2,Harlyn,50.543,-4.997,North Cornwall,4
584204204e65fad6a77090be,Holywell Bay,50.394,-5.149,North Cornwall,0
6139319ef1349483a6f4a13d,Little Fistral,50.4229,-5.1,North Cornwall,0
584204204e65fad6a77090b9,Lusty Glaze,50.42255985620887,-5.06934,North Cornwall,0
584204204e65fad6a77090b6,Mawgan Porth,50.46925105120953,-5.03871,North Cornwall,4
584204214e65fad6a7709cec,North Fistral Beach,50.41916667,-5.09917,North Cornwall,5
61bd38599946810bd0377f1e,Northcott Mouth,50.847957,-4.55562,North Cornwall,0
584204204e65fad6a77090c0,Perran Sands,50.367,-5.155,North Cornwall,0
5842041f4e65fad6a7708c94,Perranporth,50.34833333,-5.15889,North Cornwall,5
584204204e65fad6a77090b1,Polzeath,50.577,-4.925,North Cornwall,5
584204204e65fad6a77090b8,Porth,50.42700276309305,-5.06669282913208,North Cornwall,0
61393250b91b2a581a31dac2,Porthcothan Bay,50.5116,-5.0314,North Cornwall,0
61bd083337bb4a008eab6844,Porthminster Beach,50.209365,-5.47461,North Cornwall,0
584204204e65fad6a77090aa,Sandymouth,50.862,-4.561,North Cornwall,0
584204214e65fad6a7709ced,South Fistral Beach,50.41464,-5.10353,North Cornwall,5
584204204e65fad6a77090bb,Tolcarne,50.419,-5.075,North Cornwall,4
584204204e65fad6a77090bc,Towan,50.417,-5.084,North Cornwall,4
584204204e65fad6a77090ae,Trebarwith Strand,50.646,-4.765,North Cornwall,0
5842041f4e65fad6a7708c93,Trevaunance Cove,50.32127176553899,-5.20277738571167,North Cornwall,0
584204204e65fad6a77090b0,Trevone,50.547,-4.981,North Cornwall,4
584204204e65fad6a77090b5,Treyarnon,50.528,-5.029,North Cornwall,0
5842041f4e65fad6a7708ca6,Watergate Bay,50.444688234298745,-5.04622,North Cornwall,4
584204204e65fad6a77090ad,Widemouth Bay,50.792,-4.564,North Cornwall,5
61394976ea00f8b5ca484b8e,Bucks Mills,50.990242183844146,-4.34417,North Devon,0
5d6ffa60c5015800018f660b,Combe Martin,51.2084596927577,-4.04218,North Devon,0
584204204e65fad6a77090ab,Combesgate,51.1790739488,-4.21430826187,North Devon,4
5842041f4e65fad6a7708ca4,Croyde,51.13027778,-4.24083,North Devon,5
61394f3afdfcd734116b531b,Hele Bay,51.2115589552812,-4.0971,North Devon,0
5842041f4e65fad6a7708ca2,Lynmouth,51.23472222,-3.82583,North Devon,4
6139485519d668f76927012c,Minehead,51.207668,-3.46335,North Devon,0
5842041f4e65fad6a7708ca1,Putsborough,51.15111111,-4.22333,North Devon,4
5842041f4e65fad6a7708e10,Saunton,51.1139223905,-4.22952,North Devon,5
584204204e65fad6a77090b4,Westward Ho!,51.047,-4.24,North Devon,5
584204204e65fad6a77090ac,Woolacombe Bay,51.172,-4.218,North Devon,5
5842041f4e65fad6a7708c9e,Alnmouth,55.38778,-1.60458,Northeast England,0
5842041f4e65fad6a7708c9f,Bamburgh,55.61044,-1.69835,Northeast England,0
584204204e65fad6a770907c,Beadnell Bay,55.53468,-1.62838,Northeast England,0
584204204e65fad6a770907d,Blyth Beach,55.11564,-1.49549,Northeast England,0
5842041f4e65fad6a7708c9d,Cayton Bay,54.24686,-0.36208,Northeast England,4
61325cedb6396238ebdfd8e6,Cullercoats,55.03451,-1.43054,Northeast England,0
5842041f4e65fad6a7708ca0,Embleton Bay,55.49966,-1.61205,Northeast England,0
613fc40978adcd21f8cb487a,Filey,54.20751,-0.28249,Northeast England,0
584204204e65fad6a7709086,Hornsea,53.91339,-0.15892,Northeast England,0
584204204e65fad6a7709084,Longsands,55.02593,-1.42299,Northeast England,4
6130067deb3d9f2a79ea34b5,Marske to Tees,54.62567,-1.09237,Northeast England,0
584204204e65fad6a7709083,Redcar,54.62373,-1.08608,Northeast England,0
5842041f4e65fad6a7708c99,Saltburn,54.58702,-0.96739,Northeast England,4
5842041f4e65fad6a7708c9c,Sandsend,54.49852,-0.65568,Northeast England,0
584204204e65fad6a7709088,Scarborough North Bay,54.29078,-0.39845,Northeast England,4
584204204e65fad6a7709081,Seaton Carew,54.65996,-1.17997,Northeast England,0
65c36a8d7c0c29a1bd7fd850,Seaton Sluice,55.08851,-1.47652,Northeast England,0
613fc35806a1e5c60e2db693,Skegness,53.14648,0.34974,Northeast England,0
584204204e65fad6a7709087,South Bay,54.27809,-0.39339,Northeast England,0
584204204e65fad6a7709082,South Shields,54.99884,-1.40708,Northeast England,0
61313ad0f7158a61d3f8e789,Steetley Beach,54.71074,-1.20768,Northeast England,0
